id,latitude,longitude,price
2595,40.75362,-73.98377,225
3647,40.80902,-73.9419,150
3831,40.68514,-73.95976,89
5022,40.79851,-73.94399,80
5099,40.74767,-73.975,200
5121,40.68688,-73.95596,60
5178,40.76489,-73.98493,79
5203,40.80178,-73.96723,79
5238,40.71344,-73.99037,150
5295,40.80316,-73.96545,135
5441,40.76076,-73.98867,85
5803,40.66829,-73.98779,89
6021,40.79826,-73.96113,85
6090,40.7353,-74.00525,120
6848,40.70837,-73.95352,140
7097,40.69169,-73.97185,215
7322,40.74192,-73.99501,140
7726,40.67592,-73.94694,99
7750,40.79685,-73.94872,190
7801,40.71842,-73.95718,299
8024,40.68069,-73.97706,130
8025,40.67989,-73.97798,80
8110,40.68001,-73.97865,110
8490,40.68371,-73.94028,120
8505,40.65599,-73.97519,60
8700,40.86754,-73.92639,80
9357,40.76715,-73.98533,150
9518,40.86482,-73.92106,44
9657,40.7292,-73.98542,180
9668,40.82245,-73.95104,50
9704,40.81305,-73.95466,52
9782,40.72219,-73.93762,55
9783,40.8213,-73.95318,50
10452,40.6831,-73.95473,70
10962,40.66869,-73.9878,89
11452,40.68876,-73.94312,35
11708,40.70186,-73.92745,85
11943,40.63702,-73.96327,150
12048,40.71401,-73.98917,40
12192,40.7229,-73.98199,68
12299,40.66278,-73.97966,120
12303,40.69673,-73.97584,120
12318,40.79009,-73.97927,135
12343,40.81175,-73.94478,150
12627,40.65944,-73.96238,150
12937,40.74771,-73.9474,130
12940,40.68111,-73.95591,110
13050,40.68554,-73.9409,115
13394,40.69142,-73.97376,80
13808,40.68043,-73.93934,80
14287,40.78635,-73.97008,151
14290,40.7042,-73.9356,228
14314,40.73506,-73.95392,144
14322,40.73961,-73.98074,200
14377,40.70881,-73.9593,150
14991,40.72004,-73.99104,110
15220,40.75531,-73.99293,69
15338,40.72401,-73.93788,49
15341,40.7221,-73.99775,180
15385,40.71185,-73.96204,80
15396,40.74623,-73.9953,375
15711,40.77065,-73.95269,250
16326,40.67811,-73.96428,200
16338,40.69,-73.96788,55
16421,40.75979,-73.99119,52
16458,40.67343,-73.98338,225
16580,40.72649,-73.97904,80
16595,40.70933,-73.96792,275
16821,40.72298,-73.98474,99
16974,40.80164,-73.93922,225
17037,40.72162,-73.98008,230
17092,40.76342,-73.98865,51
17693,40.83139,-73.94095,65
17747,40.68346,-73.96374,105
18127,40.72828,-73.98801,190
18152,40.76865,-73.95058,200
18198,40.75038,-73.90334,70
18590,40.6932,-73.97267,95
18728,40.74138,-74.00197,150
18764,40.71154,-73.96112,145
19159,40.82915,-73.95136,110
19169,40.71851,-73.98892,285
19282,40.65401,-73.96323,130
19319,40.7114,-73.98794,94
19601,40.69723,-73.99268,800
19812,40.71833,-73.95748,105
20299,40.72334,-73.9844,60
20300,40.72912,-73.98057,50
20611,40.71156,-73.96218,85
20724,40.70032,-73.9383,65
20734,40.68233,-73.97261,131
