id,latitude,longitude,price
7801,40.71842,-73.95718,299
14290,40.7042,-73.9356,228
15711,40.77065,-73.95269,250
16595,40.70933,-73.96792,275
17037,40.72162,-73.98008,230
19169,40.71851,-73.98892,285
20853,40.68035,-73.97162,250
26969,40.71942,-73.95748,325
27006,40.77823,-73.97637,235
32100,40.73409,-73.95348,250
40039,40.70207,-73.98571,250
40453,40.76123,-73.9642,250
41348,40.66858,-73.99083,250
47926,40.76307,-73.99665,275
48719,40.71882,-73.98852,299
53477,40.71546,-73.87854,265
54158,40.7195,-73.95976,249
57618,40.7672,-73.98508,250
57740,40.73012,-73.99053,239
57754,40.7403,-73.98498,305
59709,40.71756,-73.99503,250
59855,40.7589,-73.96991,250
62925,40.72945,-73.95511,285
68765,40.67817,-73.99495,250
71010,40.83494,-73.93869,250
71384,40.72898,-73.95552,229
74404,40.80276,-73.9567,250
81739,40.73842,-73.95312,249
103806,40.72577,-73.98745,249
118430,40.74412,-74.00208,290
127387,40.66862,-73.9926,260
136493,40.67632,-73.97616,250
140133,40.71363,-73.96019,249
144087,40.80473,-73.9532,259
146754,40.65749,-73.97675,250
147586,40.80474,-73.94688,295
149287,40.78508,-73.95332,250
150804,40.72008,-73.98404,250
152263,40.80497,-73.95016,300
155296,40.71624,-73.96272,255
161996,40.83096,-73.94633,295
166006,40.80006,-73.96049,250
168546,40.80113,-73.94503,250
179741,40.72133,-73.99666,300
187986,40.73862,-73.99758,250
189181,40.74695,-74.00454,255
196010,40.67595,-73.98053,265
204065,40.68634,-73.96161,248
211974,40.72956,-73.97903,250
212178,40.75877,-73.98863,230
215907,40.79816,-73.9619,300
221043,40.72956,-73.99287,250
224006,40.80307,-73.95048,300
224510,40.68653,-73.98562,230
225926,40.68999,-73.96711,239
227735,40.72416,-73.9853,288
231414,40.72599,-74.00168,270
234184,40.80903,-73.94197,325
235552,40.66414,-73.98574,300
237210,40.73268,-73.99255,241
239055,40.71892,-73.99628,300
242532,40.6893,-73.96602,279
243229,40.68016,-73.94878,280
249414,40.73291,-74.00059,246
250259,40.7184,-73.96019,295
253839,40.73783,-73.95259,249
253842,40.73714,-73.95296,299
258688,40.74031,-74.00532,325
258838,40.59251,-74.06479,250
262583,40.73312,-74.0042,300
265831,40.72313,-73.99438,310
268481,40.71647,-73.93974,290
270345,40.72454,-73.99151,250
271950,40.76373,-73.96897,300
272044,40.72257,-73.98465,299
278631,40.73729,-74.00807,250
279093,40.82977,-73.94071,300
280315,40.67392,-73.94662,250
283184,40.70766,-73.95191,300
284855,40.73362,-74.00923,240
285442,40.73119,-73.98819,300
287417,40.68174,-73.91921,300
287845,40.68128,-73.99522,275
289703,40.7253,-73.99916,249
289995,40.71947,-73.95252,250
295998,40.7909,-73.96762,300
299078,40.72509,-74.00304,250
303462,40.78012,-73.98439,295
321014,40.73294,-73.98282,245
322037,40.72091,-73.95814,325
328040,40.75023,-73.98293,299
329310,40.71638,-73.99167,250
351859,40.74964,-73.99158,265
386799,40.76082,-73.97548,250
398283,40.66106,-73.98316,250
401579,40.67939,-73.99398,298
401836,40.76494,-73.95804,300
406926,40.7234,-73.99439,269
408983,40.65937,-73.95906,229
409262,40.68599,-73.98826,300
413775,40.75816,-73.96457,275
421554,40.68559,-73.93896,250
424192,40.7559,-73.99469,325
424767,40.74406,-73.98273,325
430665,40.79234,-73.96482,250
431865,40.83451,-73.93885,275
435774,40.70633,-74.00974,265
439870,40.66859,-73.98235,299
447840,40.71164,-73.965,299
450577,40.77555,-73.9767,250
453161,40.72183,-73.94908,260
454929,40.72981,-73.98318,239
456457,40.73204,-74.00189,315
458377,40.70147,-73.94378,229
463107,40.66933,-73.93798,250
466277,40.7111,-73.94643,235
467569,40.72106,-73.98384,311
483485,40.71164,-74.00774,328
484312,40.65854,-73.98384,300
496166,40.66641,-73.98283,249
501041,40.78451,-73.97882,300
502429,40.66153,-73.98554,325
518576,40.68812,-73.94627,250
525293,40.82822,-73.92439,250
526923,40.74129,-73.98374,265
530247,40.78339,-73.98003,250
530632,40.67147,-73.94979,275
532288,40.73176,-73.99895,295
532749,40.71606,-73.95526,280
533168,40.72184,-73.9944,300
534897,40.74552,-74.0006,230
552141,40.71788,-73.98975,300
554165,40.68251,-73.98486,250
560078,40.72274,-73.97934,295
587641,40.7197,-73.95741,275
588677,40.70989,-73.95347,250
591565,40.71552,-74.00749,229
594036,40.73413,-74.00465,300
594640,40.74026,-74.00079,275
594732,40.73474,-73.99527,331
602142,40.67963,-73.97237,260
606269,40.76257,-73.99303,249
607735,40.68466,-73.98871,300
610118,40.7072,-73.92245,275
616585,40.72091,-73.96133,250
639199,40.50868,-74.23986,299
641768,40.76206,-73.9998,263
645942,40.72294,-73.99388,250
647520,40.7256,-73.99445,234
655783,40.75663,-73.96681,285
661814,40.741,-73.99957,250
663608,40.74027,-73.98061,295
673760,40.62764,-73.90086,250
686696,40.78002,-73.95211,250
688652,40.69445,-73.96401,249
698514,40.73105,-74.00285,250
700530,40.72756,-74.00239,230
707736,40.80748,-73.94869,299
710283,40.72582,-73.95213,330
711635,40.73016,-73.98643,240
726692,40.76216,-73.92542,245
735677,40.72849,-73.98041,249
741797,40.71729,-74.00424,259
751851,40.66777,-73.97781,250
756655,40.68116,-73.96559,250
765563,40.75666,-73.76314,299
769448,40.7179,-73.96107,312
771436,40.78027,-73.90821,250
775280,40.81381,-73.94314,280
776257,40.71813,-73.9606,230
789559,40.77775,-73.98732,295
790767,40.72877,-73.98794,250
803237,40.67504,-73.95273,250
804194,40.70747,-73.93879,275
810681,40.69319,-73.96351,250
811347,40.73713,-74.00232,240
818084,40.72825,-74.00225,290
820801,40.72103,-73.94798,300
832596,40.77613,-73.94872,250
836578,40.74372,-74.00021,240
837256,40.77389,-73.951,280
837282,40.71969,-74.00876,235
839058,40.76188,-73.97193,269
845362,40.73574,-74.00056,250
845417,40.71312,-73.99033,260
846854,40.78689,-73.97314,300
849703,40.67771,-73.99428,250
850097,40.73118,-74.0029,235
850517,40.68646,-73.91313,289
857810,40.71373,-73.94958,249
859023,40.66958,-73.98998,240
890839,40.68015,-73.96299,295
900503,40.68753,-73.96002,275
903906,40.66485,-73.98838,329
918049,40.73949,-73.99483,250
921585,40.68336,-73.93648,280
925240,40.73194,-73.98939,295
927987,40.77543,-73.95499,230
951944,40.72493,-74.00307,235
953951,40.73377,-74.00259,250
975990,40.69293,-73.99679,325
978062,40.73359,-74.00524,249
995187,40.69248,-73.96983,275
995367,40.73506,-73.99728,334
999977,40.77896,-73.97849,295
999984,40.73303,-74.00237,300
1016819,40.68771,-73.96186,235
1018529,40.72031,-73.9483,249
1030392,40.71132,-73.94493,289
1032127,40.74583,-74.00363,275
1077179,40.73775,-73.98324,250
1087215,40.74877,-73.9994,300
1097816,40.63612,-73.946,325
1102942,40.74268,-73.97853,240
1106284,40.73708,-73.98455,250
1126944,40.64024,-73.96976,300
1137093,40.71756,-73.94839,300
1166339,40.78571,-73.97149,239
1171955,40.74568,-73.98321,275
1183628,40.73984,-74.00187,248
1189378,40.71976,-74.00571,285
1213991,40.76247,-73.99294,240
1223230,40.71908,-74.00546,290
1227528,40.71704,-73.95789,275
1251681,40.6458,-73.97097,250
1252826,40.77244,-73.95206,250
1258651,40.80707,-73.94884,300
1280188,40.71737,-73.96396,240
1281257,40.70735,-74.00971,269
1284776,40.68013,-73.99397,250
1290336,40.71787,-73.95585,295
